<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20210208,000000,2042.0000000,2053.2000000,2019.0000000,2023.0000000,370670
MOEX.VKCO:TQBR,D,20210209,000000,2028.4000000,2035.0000000,2001.0000000,2013.6000000,315689
MOEX.VKCO:TQBR,D,20210210,000000,2025.8000000,2035.0000000,2010.2000000,2013.6000000,385312
MOEX.VKCO:TQBR,D,20210211,000000,2019.8000000,2029.8000000,2013.2000000,2020.2000000,233881
MOEX.VKCO:TQBR,D,20210212,000000,2025.0000000,2032.8000000,1977.0000000,2004.8000000,569616
MOEX.VKCO:TQBR,D,20210215,000000,2006.0000000,2027.6000000,2004.0000000,2021.2000000,229093
MOEX.VKCO:TQBR,D,20210216,000000,2024.0000000,2048.0000000,2006.4000000,2039.8000000,441171
MOEX.VKCO:TQBR,D,20210217,000000,2040.0000000,2053.0000000,2001.0000000,2024.2000000,465231
MOEX.VKCO:TQBR,D,20210218,000000,2015.2000000,2022.6000000,1993.2000000,1997.4000000,413517
MOEX.VKCO:TQBR,D,20210219,000000,1997.4000000,2032.8000000,1985.0000000,2018.8000000,286011
MOEX.VKCO:TQBR,D,20210220,000000,2021.8000000,2025.0000000,2010.0000000,2019.2000000,38733
MOEX.VKCO:TQBR,D,20210222,000000,2018.0000000,2023.8000000,1996.0000000,2002.4000000,320976
MOEX.VKCO:TQBR,D,20210224,000000,2003.0000000,2050.0000000,1995.2000000,2041.8000000,602434
MOEX.VKCO:TQBR,D,20210225,000000,2043.0000000,2047.2000000,2005.0000000,2007.6000000,280794
MOEX.VKCO:TQBR,D,20210226,000000,2008.0000000,2039.2000000,1987.6000000,2011.4000000,900672
MOEX.VKCO:TQBR,D,20210301,000000,2017.0000000,2022.2000000,2005.0000000,2013.0000000,207351
MOEX.VKCO:TQBR,D,20210302,000000,2010.0000000,2031.8000000,1998.0000000,2007.0000000,358293
MOEX.VKCO:TQBR,D,20210303,000000,2011.0000000,2024.0000000,2001.0000000,2010.0000000,221049
MOEX.VKCO:TQBR,D,20210304,000000,2016.6000000,2026.6000000,1936.6000000,1938.8000000,663395
MOEX.VKCO:TQBR,D,20210305,000000,1955.0000000,1955.0000000,1860.0000000,1908.2000000,756607
MOEX.VKCO:TQBR,D,20210309,000000,1901.8000000,1904.8000000,1860.2000000,1884.0000000,745188
MOEX.VKCO:TQBR,D,20210310,000000,1884.0000000,1914.6000000,1836.2000000,1851.8000000,797669
MOEX.VKCO:TQBR,D,20210311,000000,1852.2000000,1871.2000000,1841.2000000,1861.8000000,445134
MOEX.VKCO:TQBR,D,20210312,000000,1862.0000000,1867.0000000,1805.2000000,1827.0000000,996967
MOEX.VKCO:TQBR,D,20210315,000000,1825.0000000,1845.0000000,1808.2000000,1834.0000000,671355
MOEX.VKCO:TQBR,D,20210316,000000,1839.8000000,1840.8000000,1805.2000000,1810.2000000,675473
MOEX.VKCO:TQBR,D,20210317,000000,1813.0000000,1829.0000000,1800.0000000,1818.8000000,729379
MOEX.VKCO:TQBR,D,20210318,000000,1820.0000000,1824.0000000,1795.0000000,1804.0000000,646739
MOEX.VKCO:TQBR,D,20210319,000000,1805.8000000,1813.0000000,1780.4000000,1792.0000000,603077
